ONI,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Precipitacion_mm,Radiacion_Solar,irca,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,VolumenUtilDiarioMasa
-0.11,99.0,5.3,17.71,7.6,77.89,11.72,8,1.05,
-0.39,99.0,3.42,17.88,7.6,77.81,11.26,9,1.04,
-0.51,99.0,7.74,16.15,7.6,81.03,12.97,10,1.0,
-0.9,99.0,8.86,16.49,7.6,86.18,13.28,11,0.85,
-0.88,99.0,3.07,16.9,7.6,83.02,10.25,12,0.94,
-0.81,99.0,2.47,17.15,6.3,81.21,11.55,1,0.91,
-0.63,99.0,2.39,16.61,6.3,80.65,11.68,2,1.12,
-0.7,99.0,3.51,17.19,6.3,79.16,12.83,3,1.09,
-0.39,99.0,9.22,15.46,6.3,84.9,13.1,4,0.95,
-0.09,99.0,9.83,15.78,6.3,83.64,12.53,5,0.85,
0.1,99.0,6.5,16.29,6.3,80.2,11.74,6,1.28,
0.17,99.0,5.75,16.33,6.3,79.3,12.22,7,1.35,
0.14,99.0,4.73,18.23,6.3,77.65,9.89,8,1.77,
0.51,99.0,4.47,18.1,6.3,77.27,11.98,9,1.24,
0.95,99.0,6.77,17.59,6.3,83.56,13.06,10,0.89,
0.96,99.0,5.62,16.25,6.3,84.64,13.63,11,0.8,
0.99,99.0,1.11,18.79,6.3,78.49,10.99,12,1.17,
0.82,99.0,1.6,17.22,5.2,78.46,10.74,1,1.3,375310870.9677419
0.86,99.0,2.95,16.8,5.2,78.42,13.73,2,0.95,349228892.8571429
0.91,99.0,6.65,14.55,5.2,82.47,13.37,3,0.82,322214612.9032258
0.74,99.0,7.69,16.21,5.2,84.4,13.44,4,0.92,308249466.6666667
0.66,99.0,10.5,16.0,5.2,82.71,13.14,5,0.9,307606161.2903226
0.51,99.0,5.88,16.34,5.2,81.7,11.95,6,1.29,321782800.0
0.4,99.0,4.84,17.5,5.2,78.7,11.28,7,1.42,366243806.4516129
0.09,99.0,3.17,17.75,5.2,76.69,11.38,8,1.67,390054870.9677419
0.07,99.0,4.39,17.52,5.2,76.36,10.96,9,1.31,399258666.6666667
0.53,99.0,7.75,16.91,5.2,80.76,12.86,10,0.87,392567870.9677419
0.58,99.0,7.89,16.2,5.2,85.48,13.17,11,0.94,385040666.6666667
0.63,99.0,2.58,16.55,5.2,81.85,13.37,12,0.92,381478322.5806451
0.78,99.0,0.76,18.92,3.7,79.68,10.2,1,1.5,365105645.1612903
0.52,99.0,4.57,19.35,3.7,76.77,9.69,2,1.36,341265620.6896552
0.58,99.0,3.42,16.7,3.7,80.22,11.04,3,1.05,318710096.7741935
0.48,99.0,5.2,16.62,3.7,79.98,14.27,4,0.89,300844166.6666667
-0.16,99.0,4.54,15.69,3.7,78.76,12.95,5,1.14,290141870.9677419
-0.28,99.0,10.42,16.38,3.7,79.16,11.82,6,1.24,294335733.3333333
-0.25,99.0,6.62,16.31,3.7,78.15,11.15,7,1.13,323125516.1290323
-0.54,99.0,3.91,16.61,3.7,77.94,11.78,8,1.12,336433612.9032258
-0.79,99.0,3.98,18.56,3.7,76.04,11.65,9,1.13,328335333.3333333
-1.2,99.0,1.96,17.48,3.7,72.36,12.01,10,1.27,314703548.3870968
-1.36,99.0,2.37,16.16,3.7,81.53,13.94,11,0.81,321075166.6666667
-1.05,99.0,3.68,17.48,3.7,74.79,11.88,12,0.87,333583677.4193549
-0.82,99.0,3.39,18.36,4.1,73.39,10.89,1,1.07,318859483.8709677
-0.85,99.0,3.51,16.48,4.1,74.45,14.18,2,1.04,300381750.0
-0.69,99.0,4.26,14.88,4.1,79.49,14.33,3,0.93,294729838.7096774
-0.6,99.0,5.89,16.59,4.1,79.32,12.93,4,0.94,296661366.6666667
-0.35,99.0,1.74,17.28,4.1,78.49,13.22,5,1.18,321908612.9032258
-0.22,99.0,6.56,16.74,4.1,79.13,10.87,6,1.1,359512233.3333333
-0.34,99.0,1.86,16.75,4.1,75.01,11.48,7,1.64,393645387.0967742
-0.48,99.0,2.29,16.76,4.1,73.34,12.24,8,1.26,434575580.6451613
-0.52,99.0,4.83,17.97,4.1,72.27,11.98,9,1.28,456232800.0
-0.89,99.0,3.11,17.65,4.1,76.91,13.49,10,0.86,461579258.0645161
-0.89,99.0,2.88,17.76,4.1,77.9,13.88,11,0.9,481237600.0
-0.96,99.0,2.11,16.65,4.1,76.74,14.6,12,1.04,474543580.6451613
-0.77,99.0,1.85,17.56,3.1,71.83,13.78,1,1.18,453196074.1935484
-0.74,99.0,4.7,15.44,3.1,75.21,13.01,2,0.9,432436285.7142857
-0.87,99.0,6.45,16.11,3.1,81.54,13.81,3,0.89,419985419.3548387
-0.99,99.0,8.67,15.56,3.1,81.47,13.69,4,0.99,408355533.3333333
-1.0,99.0,10.29,16.06,3.1,80.97,12.94,5,0.99,454864354.8387097
-0.69,99.0,6.91,14.98,3.1,81.94,12.19,6,0.91,498158200.0
-0.65,99.0,7.36,15.89,3.1,79.52,11.41,7,1.14,532957096.7741935
-0.93,99.0,5.24,17.43,3.1,77.79,11.63,8,1.22,550557806.451613
-1.03,99.0,4.5,17.06,3.1,78.1,12.09,9,1.01,549053833.3333334
-0.94,99.0,8.15,17.23,3.1,83.25,11.69,10,1.06,545696451.6129032
-0.85,99.0,5.97,15.83,3.1,87.01,13.14,11,0.97,556572100.0
-0.75,99.0,2.28,17.96,3.1,82.2,11.9,12,0.94,564248741.9354838
-0.55,98.85,5.85,16.91,3.2,82.16,9.61,1,0.97,555273322.5806452
-0.31,98.85,1.93,18.54,3.2,78.37,10.98,2,0.99,540964821.4285715
-0.01,98.85,5.33,14.8,3.2,84.32,13.12,3,0.87,544803032.2580645
0.25,98.85,7.27,15.3,3.2,83.93,13.04,4,0.9,558005533.3333334
0.57,98.85,7.13,17.05,3.2,81.59,12.88,5,1.12,563669580.6451613
0.89,98.85,5.06,17.28,3.2,79.4,12.03,6,1.61,577965033.3333334
1.07,98.85,4.88,16.65,3.2,78.49,12.17,7,1.72,597035354.8387097
1.39,98.85,4.25,18.1,3.2,76.52,10.74,8,1.59,619585580.6451613
1.64,98.85,4.65,18.28,3.2,75.41,11.72,9,1.43,614449366.6666666
1.77,98.85,6.48,17.62,3.2,80.4,12.14,10,0.91,599453806.451613
2.08,98.85,5.67,16.36,3.2,81.35,13.28,11,0.99,594481666.6666666
2.13,98.85,4.32,16.01,3.2,80.68,13.31,12,1.03,580021806.451613
1.98,98.85,0.62,20.35,3.6,71.83,11.76,1,1.36,554029645.1612903
1.67,98.85,2.34,17.62,3.6,74.4,14.81,2,1.21,525531655.1724138
1.22,98.85,2.58,16.33,3.6,71.98,15.26,3,1.16,500117677.4193549
0.89,98.85,7.44,16.77,3.6,76.39,14.11,4,0.98,474841700.0
0.34,98.85,11.99,15.32,3.6,82.57,14.52,5,0.97,467863193.5483871
0.23,98.85,8.27,15.89,3.6,81.56,12.36,6,1.13,486531533.3333333
0.09,98.85,4.15,17.08,3.6,80.19,11.93,7,1.5,499495096.7741935
-0.07,98.85,1.92,18.0,3.6,75.88,11.05,8,1.47,504866451.6129032
-0.22,98.85,2.87,17.85,3.6,73.35,11.8,9,1.44,486848766.6666667
-0.22,98.85,5.74,18.86,3.6,77.96,12.45,10,1.14,470190161.2903226
-0.19,98.85,6.53,15.36,3.6,84.71,12.36,11,0.98,481637366.6666667
-0.49,98.85,5.08,15.82,3.6,82.06,14.1,12,0.91,492346387.0967742
-0.56,98.85,2.45,18.02,3.6,76.97,10.65,1,1.18,478472875.0
-0.28,98.85,4.08,14.51,3.6,81.56,14.32,2,0.87,453861348.6660087
0.11,98.85,8.05,15.04,3.6,83.58,13.88,3,0.91,431913246.9590105
-0.02,98.85,15.86,16.22,3.6,83.16,13.58,4,0.95,410084325.54677624
-0.02,98.85,8.53,15.37,3.6,84.0,13.04,5,1.2,404057525.22251344
-0.01,98.85,8.51,15.89,3.6,81.59,11.83,6,1.36,420179937.2385342
-0.1,98.85,2.78,16.71,3.6,79.91,11.23,7,1.52,431375571.8475586
-0.32,98.85,4.62,17.23,3.6,78.21,12.75,8,1.4,436014398.6951263
-0.43,98.85,3.71,17.2,3.6,78.12,12.7,9,1.35,420453907.316438
-0.45,98.85,4.81,16.36,3.6,82.18,12.74,10,0.9,406067148.63389605
-0.64,98.85,3.18,15.46,3.6,82.24,13.61,11,0.87,415953221.1842923
-0.57,98.85,1.39,17.32,3.6,83.27,11.82,12,1.08,425201780.0626455
0.68,99.0,3.31,16.43,0.4,87.21,7.24,1,1.61,
0.57,99.0,1.42,16.21,0.4,85.97,11.05,2,1.33,
0.57,99.0,5.8,14.7,0.4,85.05,12.0,3,1.35,
0.82,99.0,9.02,13.56,0.4,90.07,11.21,4,1.46,
1.03,99.0,6.19,14.6,0.4,89.68,10.15,5,1.4,
1.23,99.0,9.17,13.14,0.4,90.86,9.38,6,1.84,
1.5,99.0,8.52,14.84,0.4,88.75,8.7,7,1.66,
1.97,99.0,4.98,13.9,0.4,88.65,10.43,8,1.66,
2.24,99.0,4.15,17.64,0.4,85.26,8.64,9,1.51,
2.41,99.0,6.08,16.81,0.4,85.9,10.58,10,1.25,
2.77,99.0,9.05,15.38,0.4,90.03,10.68,11,1.05,
2.76,99.0,2.19,15.69,0.4,87.9,9.28,12,1.68,
2.73,99.0,0.2,19.93,0.0,81.45,10.35,1,1.0,
2.39,99.0,1.54,15.16,0.0,81.21,10.49,2,1.5,
1.71,99.0,5.24,15.19,0.0,83.68,11.56,3,1.28,
1.02,99.0,13.68,13.75,0.0,89.15,12.22,4,0.94,
0.41,99.0,9.73,14.47,0.0,90.24,11.25,5,1.28,
0.03,99.0,6.56,14.46,0.0,89.16,10.12,6,1.47,
-0.43,99.0,6.81,13.44,0.0,89.11,9.85,7,1.54,
-0.53,99.0,11.09,15.81,0.0,87.78,9.23,8,1.55,
-0.53,99.0,7.86,16.99,0.0,87.19,9.45,9,1.27,
-0.69,99.0,8.22,16.8,0.0,88.42,10.36,10,0.92,
-0.7,99.0,11.46,15.21,0.0,89.9,10.48,11,0.76,
-0.4,99.0,5.98,16.53,0.0,89.99,10.23,12,1.02,
-0.26,99.0,1.35,14.9,0.0,88.32,9.06,1,1.01,
0.07,99.0,1.95,17.82,0.0,83.68,10.86,2,1.05,
0.13,99.0,9.6,14.23,0.0,88.65,10.81,3,1.05,
0.33,99.0,6.43,16.12,0.0,88.57,11.03,4,1.21,
0.47,99.0,15.29,16.2,0.0,89.49,10.49,5,1.12,
0.39,99.0,11.09,14.87,0.0,90.17,9.67,6,1.21,
0.29,99.0,6.29,12.58,0.0,89.77,10.12,7,1.49,
-0.11,99.0,7.82,16.51,0.0,87.89,10.13,8,1.24,
-0.39,99.0,5.89,17.25,0.0,86.76,9.47,9,1.17,
-0.51,99.0,11.0,15.88,0.0,87.96,10.15,10,1.05,
-0.9,99.0,11.36,17.21,0.0,90.28,11.26,11,0.76,
-0.88,99.0,1.97,16.55,0.0,88.06,8.37,12,0.97,
-0.81,99.0,2.34,15.83,0.1,87.94,10.23,1,1.21,
-0.63,99.0,0.81,15.43,0.1,82.16,10.47,2,1.03,
-0.7,99.0,3.75,14.99,0.1,84.16,10.32,3,1.4,
-0.39,99.0,11.82,11.97,0.1,90.65,11.44,4,1.05,
-0.09,99.0,12.92,14.08,0.1,90.87,10.47,5,1.2,
0.1,99.0,11.2,13.18,0.1,91.05,9.79,6,1.49,
0.17,99.0,10.16,13.4,0.1,90.58,9.98,7,1.52,
0.14,99.0,9.53,15.3,0.1,87.67,7.94,8,1.63,
0.51,99.0,5.9,16.39,0.1,86.43,9.22,9,1.24,
0.95,99.0,9.07,16.69,0.1,87.91,10.33,10,0.81,
0.96,99.0,6.37,15.66,0.1,90.19,10.64,11,0.87,
0.99,99.0,1.2,17.89,0.1,87.47,9.06,12,1.35,
0.82,99.0,0.91,14.63,0.2,84.45,9.66,1,1.47,375310870.9677419
0.86,99.0,1.49,17.84,0.2,81.25,11.4,2,1.38,349228892.8571429
0.91,99.0,7.74,12.07,0.2,86.77,11.96,3,1.14,322214612.9032258
0.74,99.0,10.3,13.58,0.2,89.56,11.5,4,1.01,308249466.6666667
0.66,99.0,14.59,14.43,0.2,90.1,10.94,5,1.19,307606161.2903226
0.51,99.0,10.12,13.38,0.2,91.18,9.45,6,1.54,321782800.0
0.4,99.0,9.78,14.64,0.2,89.98,9.64,7,1.56,366243806.4516129
0.09,99.0,7.56,13.68,0.2,88.59,9.43,8,1.59,390054870.9677419
0.07,99.0,7.37,16.75,0.2,85.81,9.12,9,1.24,399258666.6666667
0.53,99.0,9.67,15.8,0.2,87.51,10.42,10,1.13,392567870.9677419
0.58,99.0,10.15,15.48,0.2,91.69,11.69,11,0.91,385040666.6666667
0.63,99.0,2.72,15.68,0.2,90.52,11.97,12,1.18,381478322.5806451
0.78,99.0,0.77,17.17,1.7,85.49,8.87,1,1.35,365105645.1612903
0.52,99.0,3.26,18.27,1.7,81.7,8.77,2,1.44,341265620.6896552
0.58,99.0,4.32,16.1,1.7,83.03,9.4,3,1.15,318710096.7741935
0.48,99.0,7.89,14.09,1.7,87.97,11.42,4,1.21,300844166.6666667
-0.16,99.0,9.03,13.12,1.7,89.96,10.76,5,1.42,290141870.9677419
-0.28,99.0,15.13,15.52,1.7,90.02,9.48,6,1.48,294335733.3333333
-0.25,99.0,11.14,14.56,1.7,89.64,9.62,7,1.39,323125516.1290323
-0.54,99.0,5.61,14.21,1.7,88.33,9.41,8,1.27,336433612.9032258
-0.79,99.0,6.8,16.94,1.7,86.09,9.83,9,1.16,328335333.3333333
-1.2,99.0,1.58,16.57,1.7,83.27,9.49,10,1.09,314703548.3870968
-1.36,99.0,1.65,15.29,1.7,86.83,11.7,11,0.7,321075166.6666667
-1.05,99.0,3.32,17.02,1.7,84.4,10.28,12,1.04,333583677.4193549
-0.82,99.0,3.31,17.43,1.5,84.07,8.79,1,1.28,318859483.8709677
-0.85,99.0,3.93,15.07,1.5,84.82,11.26,2,1.09,300381750.0
-0.69,99.0,4.25,12.87,1.5,86.23,10.21,3,1.06,294729838.7096774
-0.6,99.0,5.92,16.29,1.5,88.44,10.91,4,1.36,296661366.6666667
-0.35,99.0,0.47,14.0,1.5,87.69,10.53,5,1.43,321908612.9032258
-0.22,99.0,5.12,15.74,1.5,87.39,8.96,6,1.49,359512233.3333333
-0.34,99.0,1.4,13.31,1.5,86.93,9.34,7,1.87,393645387.0967742
-0.48,99.0,1.54,15.09,1.5,83.31,9.65,8,1.56,434575580.6451613
-0.52,99.0,4.09,16.54,1.5,82.05,9.39,9,1.51,456232800.0
-0.89,99.0,3.79,16.67,1.5,86.03,11.22,10,1.23,461579258.0645161
-0.89,99.0,2.72,16.87,1.5,86.12,11.32,11,1.11,481237600.0
-0.96,99.0,1.14,17.04,1.5,82.75,11.78,12,1.22,474543580.6451613
-0.77,99.0,1.39,16.59,0.8,76.89,10.75,1,1.17,453196074.1935484
-0.74,99.0,4.25,13.97,0.8,80.86,10.93,2,1.23,432436285.7142857
-0.87,99.0,7.17,14.35,0.8,88.08,11.75,3,1.14,419985419.3548387
-0.99,99.0,11.22,13.83,0.8,88.48,10.59,4,1.17,408355533.3333333
-1.0,99.0,17.83,14.7,0.8,90.5,10.57,5,1.32,454864354.8387097
-0.69,99.0,10.26,14.36,0.8,90.3,9.56,6,1.24,498158200.0
-0.65,99.0,12.99,14.92,0.8,89.88,9.78,7,1.42,532957096.7741935
-0.93,99.0,8.65,16.11,0.8,88.76,8.92,8,1.41,550557806.451613
-1.03,99.0,6.99,15.88,0.8,86.38,10.41,9,1.25,549053833.3333334
-0.94,99.0,9.11,16.47,0.8,88.35,9.91,10,0.97,545696451.6129032
-0.85,99.0,6.67,14.64,0.8,90.9,11.64,11,0.79,556572100.0
-0.75,99.0,3.39,18.49,0.8,88.61,8.21,12,1.05,564248741.9354838
-0.55,25.38,7.93,16.57,1.4,88.77,7.28,1,1.1,555273322.5806452
-0.31,25.38,1.75,18.9,1.4,85.55,7.78,2,1.42,540964821.4285715
-0.01,25.38,5.31,12.36,1.4,88.16,11.98,3,1.04,544803032.2580645
0.25,25.38,10.47,13.26,1.4,90.19,10.8,4,1.05,558005533.3333334
0.57,25.38,12.93,15.05,1.4,90.13,10.98,5,1.36,563669580.6451613
0.89,25.38,10.72,15.28,1.4,89.78,9.87,6,1.69,577965033.3333334
1.07,25.38,9.27,14.42,1.4,90.69,10.44,7,1.83,597035354.8387097
1.39,25.38,7.02,17.06,1.4,87.26,9.08,8,1.51,619585580.6451613
1.64,25.38,7.46,17.62,1.4,86.47,10.8,9,1.44,614449366.6666666
1.77,25.38,9.19,17.22,1.4,86.21,10.15,10,0.95,599453806.451613
2.08,25.38,8.01,15.92,1.4,89.21,11.27,11,1.17,594481666.6666666
2.13,25.38,7.57,15.35,1.4,90.89,10.84,12,1.12,580021806.451613
1.98,98.77,0.22,20.68,3.6,84.17,9.58,1,1.44,554029645.1612903
1.67,98.77,2.26,15.84,3.6,84.49,11.78,2,1.32,525531655.1724138
1.22,98.77,3.67,14.31,3.6,85.44,11.01,3,1.31,500117677.4193549
0.89,98.77,7.46,16.25,3.6,86.73,10.98,4,1.34,474841700.0
0.34,98.77,16.96,14.23,3.6,90.81,12.23,5,1.39,467863193.5483871
0.23,98.77,9.98,15.43,3.6,90.88,10.39,6,1.45,486531533.3333333
0.09,98.77,6.16,13.45,3.6,90.85,9.17,7,1.69,499495096.7741935
-0.07,98.77,3.46,16.16,3.6,86.94,9.54,8,1.54,504866451.6129032
-0.22,98.77,3.16,16.78,3.6,84.21,10.92,9,1.51,486848766.6666667
-0.22,98.77,8.42,18.41,3.6,86.6,10.49,10,1.25,470190161.2903226
-0.19,98.77,8.59,14.97,3.6,89.95,9.72,11,0.92,481637366.6666667
-0.49,98.77,6.79,15.63,3.6,90.07,10.66,12,1.12,492346387.0967742
-0.56,98.77,3.78,17.08,3.6,87.56,9.19,1,1.37,478472875.0
-0.28,98.77,2.74,14.39,3.6,86.99,11.95,2,1.29,453861348.6660087
0.11,98.77,8.34,14.04,3.6,89.42,10.54,3,1.2,431913246.9590105
-0.02,98.77,17.6,15.21,3.6,90.95,10.37,4,1.23,410084325.54677624
-0.02,98.77,14.69,14.8,3.6,92.16,11.01,5,1.51,404057525.22251344
-0.01,98.77,15.78,13.97,3.6,91.95,9.02,6,1.64,420179937.2385342
-0.1,98.77,7.3,13.59,3.6,91.46,10.05,7,1.81,431375571.8475586
-0.32,98.77,9.65,15.45,3.6,91.08,9.79,8,1.7,436014398.6951263
-0.43,98.77,6.33,16.06,3.6,90.03,10.59,9,1.61,420453907.316438
-0.45,98.77,7.1,15.53,3.6,90.75,10.35,10,1.28,406067148.63389605
-0.64,98.77,4.84,15.03,3.6,90.55,11.33,11,1.22,415953221.1842923
-0.57,98.77,1.83,16.57,3.6,88.96,9.56,12,1.02,425201780.0626455
0.68,100.0,3.3,19.42,0.4,83.61,11.63,1,1.04,
0.57,100.0,1.55,19.75,0.4,81.71,14.52,2,0.97,
0.57,100.0,5.5,18.97,0.4,80.68,14.89,3,1.01,
0.82,100.0,9.01,16.33,0.4,88.67,14.86,4,1.05,
1.03,100.0,6.65,16.86,0.4,89.15,14.64,5,0.92,
1.23,100.0,9.4,14.67,0.4,90.41,13.31,6,0.87,
1.5,100.0,8.81,16.56,0.4,88.5,12.04,7,0.86,
1.97,100.0,5.34,15.66,0.4,88.08,13.97,8,0.86,
2.24,100.0,4.33,20.38,0.4,84.38,13.15,9,0.86,
2.41,100.0,6.16,18.76,0.4,84.24,13.64,10,0.82,
2.77,100.0,8.98,17.28,0.4,89.68,13.71,11,0.86,
2.76,100.0,2.26,18.34,0.4,85.51,13.22,12,0.9,
2.73,100.0,0.26,22.33,0.0,73.76,13.82,1,0.87,
2.39,100.0,1.55,18.94,0.0,72.33,14.07,2,1.0,
1.71,100.0,4.96,17.43,0.0,77.44,16.67,3,1.04,
1.02,100.0,13.29,15.98,0.0,88.68,15.04,4,0.88,
0.41,100.0,10.23,15.62,0.0,89.75,14.81,5,0.84,
0.03,100.0,6.97,15.88,0.0,89.12,12.88,6,0.82,
-0.43,100.0,7.19,14.79,0.0,88.91,13.4,7,0.82,
-0.53,100.0,11.31,18.29,0.0,86.87,13.02,8,0.82,
-0.53,100.0,8.01,19.56,0.0,86.99,12.67,9,0.83,
-0.69,100.0,8.32,18.32,0.0,88.26,14.34,10,0.82,
-0.7,100.0,11.55,17.08,0.0,89.84,13.67,11,0.81,
-0.4,100.0,5.53,18.8,0.0,89.9,13.32,12,0.9,
-0.26,100.0,1.29,18.43,0.2,87.21,12.61,1,0.9,
0.07,100.0,1.86,20.99,0.2,78.52,13.2,2,0.98,
0.13,100.0,9.23,17.43,0.2,85.8,14.11,3,1.04,
0.33,100.0,6.34,18.36,0.2,86.76,14.43,4,0.94,
0.47,100.0,14.89,17.45,0.2,89.59,13.23,5,0.87,
0.39,100.0,11.39,15.79,0.2,90.13,13.03,6,0.82,
0.29,100.0,6.78,14.07,0.2,89.99,12.84,7,0.85,
-0.11,100.0,8.14,18.12,0.2,88.18,12.88,8,0.84,
-0.39,100.0,6.51,18.78,0.2,87.35,13.77,9,0.84,
-0.51,100.0,11.22,18.37,0.2,87.86,13.59,10,0.77,
-0.9,100.0,10.79,19.16,0.2,90.8,14.95,11,0.85,
-0.88,100.0,1.93,20.22,0.2,87.2,12.46,12,0.91,
-0.81,100.0,2.31,19.34,1.9,85.36,14.06,1,0.95,
-0.63,100.0,0.35,21.22,1.9,74.61,13.46,2,0.93,
-0.7,100.0,4.21,17.9,1.9,78.26,14.77,3,0.98,
-0.39,100.0,11.66,13.95,1.9,89.62,14.59,4,0.97,
-0.09,100.0,12.94,15.95,1.9,91.03,13.99,5,0.94,
0.1,100.0,11.14,13.71,1.9,90.66,13.04,6,0.84,
0.17,100.0,10.4,14.48,1.9,90.32,12.83,7,0.84,
0.14,100.0,9.73,17.59,1.9,87.06,12.21,8,0.82,
0.51,100.0,6.17,18.55,1.9,85.94,12.76,9,0.81,
0.95,100.0,9.43,18.96,1.9,88.11,13.21,10,0.83,
0.96,100.0,6.3,18.11,1.9,90.44,14.18,11,0.84,
0.99,100.0,1.13,21.07,1.9,85.13,13.26,12,0.95,
0.82,100.0,0.8,18.93,2.6,78.76,13.9,1,0.96,375310870.9677419
0.86,100.0,1.28,21.49,2.6,73.31,14.83,2,1.0,349228892.8571429
0.91,100.0,7.29,14.89,2.6,82.87,15.12,3,0.96,322214612.9032258
0.74,100.0,10.14,16.12,2.6,88.13,15.08,4,0.93,308249466.6666667
0.66,100.0,14.51,16.1,2.6,89.83,15.04,5,0.91,307606161.2903226
0.51,100.0,10.75,14.52,2.6,91.1,13.2,6,0.91,321782800.0
0.4,100.0,10.19,15.84,2.6,89.35,13.7,7,0.88,366243806.4516129
0.09,100.0,7.91,16.02,2.6,88.05,13.25,8,0.87,390054870.9677419
0.07,100.0,7.68,19.02,2.6,85.28,12.99,9,0.85,399258666.6666667
0.53,100.0,9.67,17.58,2.6,87.38,13.13,10,0.89,392567870.9677419
0.58,100.0,10.26,17.94,2.6,91.41,15.25,11,0.86,385040666.6666667
0.63,100.0,2.82,18.3,2.6,90.09,15.12,12,0.92,381478322.5806451
0.78,100.0,1.1,20.15,1.3,81.05,12.2,1,0.96,365105645.1612903
0.52,100.0,2.53,21.61,1.3,74.82,13.31,2,1.0,341265620.6896552
0.58,100.0,5.07,19.19,1.3,77.7,13.44,3,0.98,318710096.7741935
0.48,100.0,8.17,17.11,1.3,86.58,13.92,4,0.99,300844166.6666667
-0.16,100.0,9.3,15.79,1.3,89.93,14.2,5,0.89,290141870.9677419
-0.28,100.0,14.23,17.15,1.3,89.33,12.64,6,0.96,294335733.3333333
-0.25,100.0,10.7,15.9,1.3,88.92,12.9,7,0.88,323125516.1290323
-0.54,100.0,5.72,15.64,1.3,88.08,12.77,8,0.86,336433612.9032258
-0.79,100.0,6.83,18.87,1.3,86.05,12.92,9,0.84,328335333.3333333
-1.2,100.0,1.39,19.06,1.3,81.31,12.93,10,0.8,314703548.3870968
-1.36,100.0,0.99,16.41,1.3,81.98,15.2,11,0.81,321075166.6666667
-1.05,100.0,2.51,19.31,1.3,79.0,14.45,12,0.91,333583677.4193549
-0.82,100.0,3.09,19.73,1.5,80.22,13.03,1,0.91,318859483.8709677
-0.85,100.0,4.21,19.54,1.5,80.46,14.19,2,0.9,300381750.0
-0.69,100.0,3.76,16.34,1.5,82.81,13.84,3,1.01,294729838.7096774
-0.6,100.0,5.32,18.03,1.5,86.49,13.73,4,1.08,296661366.6666667
-0.35,100.0,0.0,15.63,1.5,82.93,14.26,5,1.05,321908612.9032258
-0.22,100.0,1.58,16.37,1.5,78.6,13.14,6,1.12,359512233.3333333
-0.34,100.0,0.29,14.49,1.5,77.08,13.04,7,1.24,393645387.0967742
-0.48,100.0,0.16,16.62,1.5,71.29,13.98,8,1.26,434575580.6451613
-0.52,100.0,1.68,18.29,1.5,71.52,13.59,9,1.22,456232800.0
-0.89,100.0,2.31,17.93,1.5,79.33,14.89,10,1.22,461579258.0645161
-0.89,100.0,1.79,20.8,1.5,77.52,15.43,11,1.14,481237600.0
-0.96,100.0,1.48,19.89,1.5,74.82,15.24,12,1.06,474543580.6451613
